Status_RPM_V1,Status_TotalCurrent_V1,Status_RPM_V2,Status_TotalCurrent_V2,TorqueValue
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
-593,6,-634,5,49
